id	audio	n_frames	tgt_text	src_text	speaker
ted_767_18	en-es/flac.zip:9479913086:267001	244640	Gracias. (Aplauso) Gracias.	Thank you. (Applause) (Applause ends)	spk.767
ted_767_19	en-es/flac.zip:3554850838:111146	109440	Chris Anderson: Gracias. Gracias. (Aplauso) Gracias.	Thank you. Chris Anderson: Thank you. Thank you. (Applause)	spk.767
ted_767_20	en-es/flac.zip:5958103007:111402	137120	Solo para entender más sobre Terrapower, correcto — Quiero decir, primero de todo: ¿Nos puedes dar una noción de que escala de cual sería la escala de la inversión?	CA: Thank you. So to understand more about TerraPower. I mean, first of all, can you give a sense of what scale of investment this is?	spk.767
ted_767_21	en-es/flac.zip:22327462534:252636	288320	Bill Gates: Para hacer el software con la super-computadora, emplear a todos los grandes científicos, cosa que hemos hecho, eso representa solamente decenas de millones, e inclusive una vez probamos nuestros materiales en un reactor Ruso para asegurarnos que nuestros materiales funcionan correctamente, ahí solamente estarías en los cientos de millones.	Bill Gates: To actually do the software, buy the supercomputer, hire all the great scientists, which we've done, that's only tens of millions. And even once we test our materials out in a Russian reactor to make sure our materials work properly, then you'll only be up in the hundreds of millions.	spk.767
ted_767_22	en-es/flac.zip:22863701777:140252	158720	Lo difícil es construir el reactor piloto, conseguir los varios miles de millones, encontrar el regulador, la ubicación en la cuál ser construiría el primero de éstos.	The tough thing is building the pilot reactor — finding the several billion, finding the regulator, the location that will actually build the first one of these.	spk.767
ted_767_23	en-es/flac.zip:15535943190:147113	163200	Una vez que tienes el primero construido, y si funciona como previsto, entonces, es claro como el día, porque las variables económicas y la densidad energética son tan diferentes de lo nuclear como lo conocemos.	Once you get the first one built, if it works as advertised, then it's just clear as day, because the economics, the energy density, are so different than nuclear as we know it.	spk.767
ted_767_24	en-es/flac.zip:25403183679:171610	198880	CA: ¿Para entender bien, esto implica construir profundamente en el suelo casi como una columna vertical de combustible nuclear, de este tipo de uranio ya utilizado, y entonces, el proceso empieza desde arriba y luego va bajando?	CA: So to understand it right, this involves building deep into the ground, almost like a vertical column of nuclear fuel, of this spent uranium, and then the process starts at the top and kind of works down?	spk.767
ted_767_25	en-es/flac.zip:27821138132:160488	178880	BG: Es correcto. Hoy, se está siempre rellenando de combustible al reactor, entonces tienes muchas personas y muchos controles que pueden tener un error esa cosa que la tienes que abrir y mover cosas adentro y afuera.	BG: That's right. Today, you're always refueling the reactor, so you have lots of people and lots of controls that can go wrong, where you're opening it up and moving things in and out — that's not good.	spk.767
ted_767_26	en-es/flac.zip:17066458457:261183	294560	Voy a hablar hoy sobre la energía y el clima Y eso podría parecer un poco sorprendente porque mi trabajo a tiempo completo en la fundación es principalmente sobre vacunas y semillas, sobre las cosas que necesitamos inventar y cumplir para mejorar la vida de los 2000 millones más pobres.	I'm going to talk today about energy and climate. And that might seem a bit surprising, because my full-time work at the foundation is mostly about vaccines and seeds, about the things that we need to invent and deliver to help the poorest two billion live better lives.	spk.767
ted_767_27	en-es/flac.zip:30033546181:148417	160320	Eso no es bueno Así que, si tienes combustible muy barato del cuál puedes ya cargar para unos 60 años — solo piénsalo como un tronco — enterrarlo y no tener esas mismas complicaciones.	So if you have very — (Laughter) very cheap fuel that you can put 60 years in — just think of it as a log — put it down and not have those same complexities.	spk.767
ted_767_28	en-es/flac.zip:1867583855:63864	73440	Y solo se queda ahí y se quema por sesenta años, y luego ya está.	And it just sits there and burns for the 60 years, and then it's done.	spk.767
ted_767_29	en-es/flac.zip:14179321240:51347	58720	CA: Es una planta nuclear que incluye su propia solución de eliminación de residuos.	CA: It's a nuclear power plant that is its own waste disposal solution.	spk.767
ted_767_30	en-es/flac.zip:2470121231:160754	180799	BG: Si. Bueno, lo que ocurre con el desecho, lo puedes dejar allí — hay mucho menos desechos con este enfoque — luego puedes en realidad agarrar ese, y colocarlo dentro de otro y quemar ese.	BG: Yeah; what happens with the waste, you can let it sit there — there's a lot less waste under this approach — then you can actually take that and put it into another one and burn that.	spk.767
ted_767_31	en-es/flac.zip:2645933394:100845	116960	El CO2 está calentando al planeta, y la ecuación sobre el CO2 es en realidad muy sencilla.	CO2 is warming the planet, and the equation on CO2 is actually a very straightforward one.	spk.767
ted_767_32	en-es/flac.zip:6055180487:148881	162080	Y empezamos tomando el desecho que existe al día de hoy, que se encuentra en estas piletas de enfriamiento o 'dry casking' por reactor Ese es nuestro combustible para arrancar.	And we start out, actually, by taking the waste that exists today that's sitting in these cooling pools or dry-casking by reactors — that's our fuel to begin with.	spk.767
ted_767_33	en-es/flac.zip:29120875215:135746	150880	Así que lo que era un problema para esos reactores es con lo que alimentamos los nuestros, y estás reduciendo el volumen de desechos de manera bastante dramática. al ir avanzando en el proceso.	So the thing that's been a problem from those reactors is actually what gets fed into ours, and you're reducing the volume of the waste quite dramatically as you're going through this process.	spk.767
ted_767_34	en-es/flac.zip:16623723606:92239	107520	CA: Pero cuando hablas a distintas personas por el mundo, sobre estas posibilidades, ¿Donde hay mayor interés en realmente hacer algo con esto?	CA: You're talking to different people around the world about the possibilities. Where is there most interest in actually doing something with this?	spk.767
ted_767_35	en-es/flac.zip:22998204761:230054	256320	BG: Bueno, no hemos elegido un lugar en particular, y existen todas estas reglas de divulgación sobre cualquier cosa llamada nuclear, así que nos interesa mucho que gente de la empresa haya estado en Rusia, India y China.	BG: Well, we haven't picked a particular place, and there's all these interesting disclosure rules about anything that's called "nuclear." So we've got a lot of interest. People from the company have been in Russia, India, China.	spk.767
ted_767_36	en-es/flac.zip:26763121381:79526	91680	Estuve aquí con el secretario de energía, hablando de como entraría esto en la agenda energética.	I've been back seeing the secretary of energy here, talking about how this fits into the energy agenda.	spk.767
ted_767_37	en-es/flac.zip:24160596166:15573	16160	Así que soy optimista.	So I'm optimistic.	spk.767
ted_767_38	en-es/flac.zip:21476359021:28941	30879	Sabés, los franceses y japoneses han hecho algo de trabajo.	The French and Japanese have done some work.	spk.767
ted_767_39	en-es/flac.zip:1719488432:194437	222880	Esto es una variación sobre algo que se había hecho previamente Es un avance importante, pero es como un reactor rápido, y muchos países los han construido, así que cualquiera que haya hecho un reactor rápido es un candidato para estar donde se construya el primero.	This is a variant on something that has been done. It's an important advance, but it's like a fast reactor, and a lot of countries have built them, so anybody who's done a fast reactor is a candidate to be where the first one gets built.	spk.767
ted_767_40	en-es/flac.zip:19437926244:307177	350560	Si sumas el CO2 que está siendo emitido, eso da lugar a un incremento de temperatura, y ese incremento de temperatura da a lugar a algunos efectos muy negativos. Los efectos sobre el clima y quizás todavía peor, los efectos indirectos, dado que los ecosistemas naturales no se pueden ajustar a estos cambios rápidos, y entonces los ecosistemas se desploman.	If you sum up the CO2 that gets emitted, that leads to a temperature increase, and that temperature increase leads to some very negative effects: the effects on the weather; perhaps worse, the indirect effects, in that the natural ecosystems can't adjust to these rapid changes, and so you get ecosystem collapses.	spk.767
ted_767_41	en-es/flac.zip:25889765831:88446	107200	CA: ¿Entonces, en tu cabeza, escala de tiempos y probabilidad de poner en línea algo de este tipo?	CA: So, in your mind, timescale and likelihood of actually taking something like this live?	spk.767
ted_767_42	en-es/flac.zip:8906733632:160077	188959	BG: Bueno, necesitamos en primer lugar uno de estas cosas de electro-generación de gran escala eso es muy barato, tenemos 20 años para inventar y luego 20 años para implementar.	BG: Well, we need — for one of these high-scale, electro-generation things that's very cheap, we have 20 years to invent and then 20 years to deploy.	spk.767
ted_767_43	en-es/flac.zip:11655125359:96021	109120	Eso es más o menos el plazo que debemos cumplir según los modelos medioambientales.	That's sort of the deadline that the environmental models have shown us that we have to meet.	spk.767
ted_767_44	en-es/flac.zip:5477831998:92001	107360	Y, sabes, Terrapower, si las cosas andan bien, que es desear mucho, podría fácilmente cumplirlo.	And TerraPower — if things go well, which is wishing for a lot — could easily meet that.	spk.767
ted_767_45	en-es/flac.zip:4445758684:168168	185600	Y existen ahora, afortunadamente, docenas de compañías, pero necesitamos que sean cientos, que a su vez, si su ciencia funciona bien, si la financiación para sus plantas pilotos funciona bien, que puedan competir por esto mismo.	And there are, fortunately now, dozens of companies — we need it to be hundreds — who, likewise, if their science goes well, if the funding for their pilot plants goes well, that they can compete for this.	spk.767
ted_767_46	en-es/flac.zip:22202510305:66248	71360	Y es mejor si varias son exitosas, porque así se podría utilizar una mezcla.	And it's best if multiple succeed, because then you could use a mix of these things.	spk.767
ted_767_47	en-es/flac.zip:28643684129:25978	28800	Indudablemente, necesitamos que una sea exitosa	We certainly need one to succeed.	spk.767
ted_767_48	en-es/flac.zip:1076200462:68140	79839	CA: ¿En términos de cambios de juego a gran escala, esto es lo más grande que tu sepas que existe?	CA: In terms of big-scale possible game changers, is this the biggest that you're aware of out there?	spk.767
ted_767_49	en-es/flac.zip:11381036970:60468	67040	BG: Un avance revolucionario en energía es lo más importante.	BG: An energy breakthrough is the most important thing.	spk.767
ted_767_50	en-es/flac.zip:21618812114:96950	105760	Lo hubiera sido, inclusive sin la restricción medioambiental, pero la restricción medioambiental la hace tanto más importante.	It would have been, even without the environmental constraint, but the environmental constraint just makes it so much greater.	spk.767
ted_767_51	en-es/flac.zip:25362910597:35714	37440	En el mundo de lo nuclear, hay otros innovadores.	In the nuclear space, there are other innovators.	spk.767
ted_767_52	en-es/flac.zip:16480340842:86966	99680	Sabes, no conocemos sus trabajos tan bien como conocemos este, pero la gente modular, eso es un enfoque diferente.	You know, we don't know their work as well as we know this one, but the modular people, that's a different approach.	spk.767
ted_767_53	en-es/flac.zip:17821332487:64085	77120	Hay un reactor del tipo líquido que parece un poco difícil, pero quizás digan lo mismo de nosotros.	There's a liquid-type reactor, which seems a little hard, but maybe they say that about us.	spk.767
ted_767_54	en-es/flac.zip:7489465472:330360	377920	Y entonces, hay varios diferentes, pero la belleza en esto es que el átomo de uranio tiene millones de veces más energía que por ejemplo un átomo de carbón y entonces, si puedes hacer frente a los puntos negativos, que son esencialmente la radiación, la huella y el costo, el potencial, en términos de efecto sobre la tierra y varias cosas, está casi en una categoría propia.	And so, there are different ones, but the beauty of this is a molecule of uranium has a million times as much energy as a molecule of, say, coal. And so, if you can deal with the negatives, which are essentially the radiation, the footprint and cost, the potential, in terms of effect on land and various things, is almost in a class of its own.	spk.767
ted_767_55	en-es/flac.zip:13366702484:129318	167520	CA: ¿Y si esto no funciona, entonces que? ¿Debemos empezar a tomar medidas de emergencia para intentar mantener estable la temperatura de la tierra?	CA: If this doesn't work, then what? Do we have to start taking emergency measures to try and keep the temperature of the earth stable?	spk.767
ted_767_56	en-es/flac.zip:12257880247:122785	147840	BG: Si entras en esa situación, es como si hubieras comido de más, y estás a punto de tener un paro cardíaco. ¿Y que haces?	BG: If you get into that situation, it's like if you've been overeating, and you're about to have a heart attack. Then where do you go?	spk.767
ted_767_57	en-es/flac.zip:8931041129:24035	27840	Posiblemente necesites una cirugía del corazón o algo.	You may need heart surgery or something.	spk.767
ted_767_58	en-es/flac.zip:15486676861:142347	160160	Existe una línea de investigación sobre algo llamado geo-ingeniería, que son varias técnicas que retrasarían el calentamiento para darnos un margen de quizás 20 o 30 años hasta que nos pongamos de acuerdo.	There is a line of research on what's called geoengineering, which are various techniques that would delay the heating to buy us 20 or 30 years to get our act together.	spk.767
ted_767_59	en-es/flac.zip:16539309392:48629	52320	Ahora, eso es solamente una póliza de seguros. Esperas no tener que hacer eso.	Now, that's just an insurance policy; you hope you don't need to do that.	spk.767
ted_767_60	en-es/flac.zip:29418720544:115859	130240	Algunas personas dicen que ni se debería trabajar sobre la póliza de seguros porque te puede hacer perezoso. y seguirás comiendo porque sabes que la cirugía del corazón te podrá salvar.	Some people say you shouldn't even work on the insurance policy because it might make you lazy, that you'll keep eating because you know heart surgery will be there to save you.	spk.767
ted_767_61	en-es/flac.zip:15950104111:204442	226079	No estoy seguro que esa sea la opción dada la importancia del problema, pero existe ahora la discusión sobre geo-ingeniería sobre, si deberíamos tenerla lista en nuestro manga en caso que las cosas ocurran más rápido, o que la innovación sea mucho más lenta de lo que se esperaba.	I'm not sure that's wise, given the importance of the problem, but there's now the geoengineering discussion about: Should that be in the back pocket in case things happen faster, or this innovation goes a lot slower than we expect?	spk.767
ted_767_62	en-es/flac.zip:14021051548:123724	167040	CA: Los escépticos del clima: ¿Si tuvieras una frase o dos para decirles, como los convencerías que están equivocados?	CA: Climate skeptics: If you had a sentence or two to say to them, how might you persuade them that they're wrong?	spk.767
ted_767_63	en-es/flac.zip:27326416450:51812	60800	BG: Bueno, desafortunadamente, los escépticos vienen de distintos bandos.	BG: Well, unfortunately, the skeptics come in different camps.	spk.767
ted_767_64	en-es/flac.zip:4939544903:142196	161280	Los que hacen argumentos científicos son muy pocos. ¿Están diciendo que hay efectos de retroalimentación negativa que tienen que ver con nubes que compensan las cosas?	The ones who make scientific arguments are very few. Are they saying there's negative feedback effects that have to do with clouds that offset things?	spk.767
ted_767_65	en-es/flac.zip:22419097799:85192	99360	Hay muy, muy pocas cosas que inclusive puedan decir hay una posibilidad en un millon de esas cosas.	There are very, very few things that they can even say there's a chance in a million of those things.	spk.767
ted_767_66	en-es/flac.zip:11487632148:94004	105120	El problema principal que tenemos aquí es algo como el SIDA. Cometes el error ahora, y pagas el precio mucho más tarde.	The main problem we have here — it's kind of like with AIDS: you make the mistake now, and you pay for it a lot later.	spk.767
ted_767_67	en-es/flac.zip:1962635888:136099	152640	Y entonces, cuando tienes todo tipo de problemas urgentes, la idea de sufrir ahora que tiene que ver con una ganancia más adelante — y un sufrimiento algo incierto.	And so, when you have all sorts of urgent problems, the idea of taking pain now that has to do with a gain later, and a somewhat uncertain pain thing.	spk.767
ted_767_68	en-es/flac.zip:4072942510:226575	257440	De hecho, el reporte del IPCC no es necesariamente el peor escenario, y hay gente en el mundo desarrollado que mira al IPCC y dicen, bueno, esto no es un asunto tan importante. El hecho es que es esa parte incierta la que debería movilizarnos hacia esto.	In fact, the IPCC report — that's not necessarily the worst case, and there are people in the rich world who look at IPCC and say, "OK, that isn't that big of a deal." The fact is it's that uncertain part that should move us towards this.	spk.767
ted_767_69	en-es/flac.zip:6908691083:164615	181920	Los montos exactos de como mapear desde cierto aumento de CO2 hasta que temperatura tendremos y el comportamiento exacto de las variables, hay algo de incertidumbre allí, pero no demasiada.	Now, the exact amount of how you map from a certain increase of CO2 to what temperature will be, and where the positive feedbacks are — there's some uncertainty there, but not very much.	spk.767
ted_767_70	en-es/flac.zip:16276939063:303606	314720	Pero mi sueño aquí es que si lo puedes hacer de manera económica, y cumplir con las restricciones de CO2, entonces los escépticos dirán, bueno, a mi no me importa que no emita CO2, De alguna manera desearía que emitiera CO2, pero creo que lo acepto porque es más barato (Aplauso)	But my dream here is that, if you can make it economic, and meet the CO2 constraints, then the skeptics say, "OK, I don't care that it doesn't put out CO2, I kind of wish it did put out CO2. But I guess I'll accept it, because it's cheaper than what's come before." (Applause)	spk.767
ted_767_71	en-es/flac.zip:14492786481:247243	278560	CA: Y entonces, esa sería tu respuesta al argumento de Bjorn Lomborg, que básicamente si gastas toda esta energía intentando resolver el problema del CO2, va a quitar tu atención de tus otras metas de intentar liberar al mundo de pobreza, y malaria, etc. y que invertir dinero en eso es un desperdicio de los recursos de la tierra cuando hay mejores cosas que podemos hacer.	CA: So that would be your response to the Bjørn Lomborg argument, basically if you spend all this energy trying to solve the CO2 problem, it's going to take away all your other goals of trying to rid the world of poverty and malaria and so forth, it's a stupid waste of the Earth's resources to put money towards that when there are better things we can do.	spk.767
ted_767_72	en-es/flac.zip:18970569976:132167	149920	BG: Bueno, el gasto real en la parte de I & amp; D — dice que los Estados Unidos deberían gastar 10.000 millones anuales más de lo que están haciendo actualmente — eso no es tan dramático.	BG: Well, the actual spending on the R & amp; D piece — say the US should spend 10 billion a year more than it is right now — it's not that dramatic.	spk.767
ted_767_73	en-es/flac.zip:4280577734:22288	25440	No debería quitarle a otras cosas.	It shouldn't take away from other things.	spk.767
ted_767_74	en-es/flac.zip:17774065959:139477	155840	El momento en el que entras en grandes números, y en esto gente razonable puede estar en desacuerdo, es cuando tienes algo que no es económico y estás intentando financiarlo. Eso, para mi es, en gran medida, un desperdicio.	The thing you get into big money on, and reasonable people can disagree, is when you have something that's non-economic and you're trying to fund that — that, to me, mostly is a waste.	spk.767
ted_767_75	en-es/flac.zip:946363292:146068	166720	A menos que estés muy cerca y estés financiando la curva de aprendizaje y que se vaya a poner muy barato. Creo que deberíamos intentar con más cosas que tienen un potencial de ser mucho menos costosas.	Unless you're very close, and you're just funding the learning curve and it's going to get very cheap, I believe we should try more things that have a potential to be far less expensive.	spk.767
ted_767_76	en-es/flac.zip:24735582900:101178	116480	Si el intercambio en el que entras es, hagamos la energía super cara, entonces los ricos la pueden comprar.	If the trade-off you get into is, "Let's make energy super expensive," then the rich can afford that.	spk.767
ted_767_77	en-es/flac.zip:18336940050:62426	66560	Quiero decir, todos los que estamos aquí podríamos pagar cinco veces más por nuestra energía y no cambiar nuestro estilo de vida.	I mean, all of us here could pay five times as much for our energy and not change our lifestyle.	spk.767
ted_767_78	en-es/flac.zip:2298446596:33244	36640	El desastre es para esos dos mil millones.	The disaster is for that two billion.	spk.767
ted_767_79	en-es/flac.zip:6020474903:27936	28480	E inclusive Lomborg ha cambiado.	And even Lomborg has changed.	spk.767
ted_767_80	en-es/flac.zip:22670992247:271990	309280	Todavía está, por sus argumentos anteriores, asociado con el bando de los escépticos, pero se ha dado cuenta que está en un bando bastante solitario, y entonces está destacando el argumento de la I & amp; D. Y entonces allí hay un hilo de algo que creo que es apropiado.	His shtick now is, "Why isn't the R & amp; D getting more discussed?" He's still, because of his earlier stuff, still associated with the skeptic camp, but he's realized that's a pretty lonely camp, and so, he's making the R & amp; D point. And so there is a thread of something that I think is appropriate.	spk.767
ted_767_81	en-es/flac.zip:9096245036:37942	43520	La parte de I & amp; D, es increíble cuan poco está siendo financiada.	The R & amp; D piece — it's crazy how little it's funded.	spk.767
ted_767_82	en-es/flac.zip:3060357954:85566	104479	CA: Bueno Bill, sospecho que hablo en nombre de la mayoría de la gente aquí al decir, realmente espero que tu deseo se haga realidad. Muchas gracias.	CA: Well, Bill, I suspect I speak on behalf of most people here to say I really hope your wish comes true. Thank you so much.	spk.767
ted_767_83	en-es/flac.zip:4035116417:71868	78400	Y hay seguramente incertidumbre acerca de cual malos serán esos efectos, pero serán extremadamente malos.	And there's certainly uncertainty about how bad those effects will be, but they will be extremely bad.	spk.767
ted_767_84	en-es/flac.zip:24258446762:10630	10560	BG: Gracias. (Aplauso)	BG: Thank you. (Applause)	spk.767
ted_767_85	en-es/flac.zip:21692419994:113344	121280	Le he preguntado a los más destacados científicos sobre esto varias veces, ¿De verdad tenemos que bajar a casi cero emisiones? ¿No podemos simplemente cortar a la mitad o un cuarto?	I asked the top scientists on this several times: Do we really have to get down to near zero? Can't we just cut it in half or a quarter?	spk.767
ted_767_86	en-es/flac.zip:12143893499:84059	94720	Y la respuesta es que hasta que no lleguemos cerca de cero, la temperatura seguirá aumentando.	And the answer is, until we get near to zero, the temperature will continue to rise.	spk.767
ted_767_87	en-es/flac.zip:22692104015:26638	27520	Y, por lo tanto eso es un gran desafío.	And so that's a big challenge.	spk.767
ted_767_88	en-es/flac.zip:6852600952:155553	177920	Es muy distinto que decir: somos un camión de 4 metros de altura tratando de pasar debajo de un puente de 3 metros y medio, y que podemos de alguna manera solo agacharnos un poco para pasar Esto es algo que tiene que llegar a cero.	It's very different than saying, "We're a twelve-foot-high truck trying to get under a ten-foot bridge, and we can just sort of squeeze under." This is something that has to get to zero.	spk.767
ted_767_89	en-es/flac.zip:5004679614:83036	88960	Emitimos mucho dióxido de carbono cada año, más de 26,000 millones de toneladas.	Now, we put out a lot of carbon dioxide every year — over 26 billion tons.	spk.767
ted_767_90	en-es/flac.zip:10751113469:40867	46240	Aproximadamente 20 toneladas por cada Norteamericano.	For each American, it's about 20 tons.	spk.767
ted_767_91	en-es/flac.zip:4658246602:34317	37119	Y menos de una tonelada por cada uno en países pobres.	For people in poor countries, it's less than one ton.	spk.767
ted_767_92	en-es/flac.zip:9986305425:51206	59040	Da un promedio de alrededor de cinco toneladas por persona en el planeta.	It's an average of about five tons for everyone on the planet.	spk.767
ted_767_93	en-es/flac.zip:10929595175:66950	74560	Y, de alguna manera debemos hacer cambios para llevar esa cifra a cero.	And somehow, we have to make changes that will bring that down to zero.	spk.767
ted_767_94	en-es/flac.zip:9072840814:26363	30400	Se ha estado incrementando constantemente.	It's been constantly going up.	spk.767
ted_767_95	en-es/flac.zip:3945514603:131903	152320	Es sólo gracias a algunos cambios económicos que se ha llegado a aplanar, así que debemos ir desde crecer rápidamente a decrecer, y decrecer todo el camino hasta llegar a cero.	It's only various economic changes that have even flattened it at all, so we have to go from rapidly rising to falling, and falling all the way to zero.	spk.767
ted_767_96	en-es/flac.zip:9084000340:53175	58400	Esta ecuación tiene cuatro factores. Un poquito de multiplicación.	This equation has four factors, a little bit of multiplication.	spk.767
ted_767_97	en-es/flac.zip:18585349495:243398	277120	Así que tienes una cosa a la izquierda, CO2 que quieres que se llegue a cero, y estará basada en la cantidad de personas, los servicios que cada persona utiliza en promedio, la energía en promedio para cada servicio, y el CO2 emitido por cada unidad de energía.	So you've got a thing on the left, CO2, that you want to get to zero, and that's going to be based on the number of people, the services each person is using on average, the energy, on average, for each service, and the CO2 being put out per unit of energy.	spk.767
ted_767_98	en-es/flac.zip:5982176662:74161	76960	Entonces, miremos a cada uno y veamos como los podemos bajar hasta cero.	So let's look at each one of these, and see how we can get this down to zero.	spk.767
ted_767_99	en-es/flac.zip:29187195863:48922	50399	Probablemente alguno de estos números tendrá que acercarse mucho a cero.	Probably, one of these numbers is going to have to get pretty near to zero.	spk.767
ted_767_100	en-es/flac.zip:21147099832:58826	64000	Ahora a regresar al álgebra de la secundaria, pero peguemos una ojeada.	(Laughter) That's back from high school algebra. But let's take a look.	spk.767
ted_767_101	en-es/flac.zip:2402003652:25623	25760	Primero, tenemos la población.	First, we've got population.	spk.767
ted_767_102	en-es/flac.zip:25609569665:37034	38880	El mundo tiene actualmente 6,800 millones de personas.	The world today has 6.8 billion people.	spk.767
ted_767_103	en-es/flac.zip:17481601649:26342	27200	Y está en camino para llegar a 9,000 millones.	That's headed up to about nine billion.	spk.767
ted_767_104	en-es/flac.zip:11619267125:168816	191519	Ahora, si hacemos un gran trabajo en nuevas vacunas, cuidado de salud, y servicios de salud reproductivos podríamos disminuir esa cifra, quizás, 10 o 15%, pero allí vemos un incremento aproximado de 1,3	Now, if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by, perhaps, 10 or 15 percent. But there, we see an increase of about 1.3.	spk.767
ted_767_105	en-es/flac.zip:16003349600:39584	42240	El segundo factor son los servicios que utilizamos.	The second factor is the services we use.	spk.767
ted_767_106	en-es/flac.zip:3007359750:80362	94240	Esto abarca todo, el alimento que comemos, abrigo, TV, calefacción.	This encompasses everything: the food we eat, clothing, TV, heating.	spk.767
ted_767_107	en-es/flac.zip:17526261937:107704	122240	Estas son cosas muy buenas, y eliminar la pobreza significa prestar estos servicios a casi todo el mundo en el planeta.	These are very good things. Getting rid of poverty means providing these services to almost everyone on the planet.	spk.767
ted_767_108	en-es/flac.zip:11521349405:45804	53120	Y es una gran cosa que este número aumente.	And it's a great thing for this number to go up.	spk.767
ted_767_109	en-es/flac.zip:9767686422:199997	229120	En el mundo rico, quizás los mil millones más favorecidos, podríamos reducir y utilizar menos, pero cada año, esta cifra, en promedio, sube y entonces, en términos generales, va a más que duplicar los servicios entregados por persona.	In the rich world, perhaps the top one billion, we probably could cut back and use less, but every year, this number, on average, is going to go up, and so, overall, that will more than double the services delivered per person.	spk.767
